"Kantons_Nr","Gemeinde_Nr","Ja_Stimmen_In_Prozent","Ja_Stimmen_Absolut","Nein_Stimmen_Absolut","Stimmbeteiligung_In_Prozent","Eingelegte_Stimmzettel","Anzahl_Stimmberechtigte","Gueltige_Stimmen","Gebiet_Ausgezaehlt","Kanton_Short","Gemeinde_d","Gemeinde_f","Gemeinde_i","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Kanton_d","Kanton_f","Kanton_i","Ja_Stimmen_In_Prozent_Kanton","Highest_Yes_Kant","Highest_No_Kant"
1,1,39.011703511,300,469,54.699646643,774,1415,769,TRUE,"ZH","Aeugst am Albis","Aeugst am Albis","Aeugst am Albis","Aeugst am Albis ZH","Aeugst am Albis (ZH)","Aeugst am Albis ZH","Zürich","Zurich","Zurigo",37.005743848,FALSE,FALSE
1,2,40.822002472,1321,1915,45.419426049,3292,7248,3236,TRUE,"ZH","Affoltern am Albis","Affoltern am Albis","Affoltern am Albis","Affoltern am Albis ZH","Affoltern am Albis (ZH)","Affoltern am Albis ZH","Zürich","Zurich","Zurigo",37.005743848,FALSE,FALSE
1,3,42.775763853,826,1105,53.506139154,1961,3665,1931,TRUE,"ZH","Bonstetten","Bonstetten","Bonstetten","Bonstetten ZH","Bonstetten (ZH)","Bonstetten ZH","Zürich","Zurich","Zurigo",37.005743848,FALSE,FALSE
1,4,41.636230825,570,799,53.1694199,1384,2603,1369,TRUE,"ZH","Hausen am Albis","Hausen am Albis","Hausen am Albis","Hausen am Albis ZH","Hausen am Albis (ZH)","Hausen am Albis ZH","Zürich","Zurich","Zurigo",37.005743848,FALSE,FALSE
1,5,44.086021505,615,780,56.269968051,1409,2504,1395,TRUE,"ZH","Hedingen","Hedingen","Hedingen","Hedingen ZH","Hedingen (ZH)","Hedingen ZH","Zürich","Zurich","Zurigo",37.005743848,FALSE,FALSE
1,6,35.509138381,136,247,47.555012225,389,818,383,TRUE,"ZH","Kappel am Albis","Kappel am Albis","Kappel am Albis","Kappel am Albis ZH","Kappel am Albis (ZH)","Kappel am Albis ZH","Zürich","Zurich","Zurigo",37.005743848,FALSE,FALSE
1,7,38.61517976,290,461,50.694904037,766,1511,751,TRUE,"ZH","Knonau","Knonau","Knonau","Knonau ZH","Knonau (ZH)","Knonau ZH","Zürich","Zurich","Zurigo",37.005743848,FALSE,FALSE
1,8,42.735042735,100,134,52.927927928,235,444,234,TRUE,"ZH","Maschwanden","Maschwanden","Maschwanden","Maschwanden ZH","Maschwanden (ZH)","Maschwanden ZH","Zürich","Zurich","Zurigo",37.005743848,FALSE,FALSE
1,9,39.592050209,757,1155,52.368064953,1935,3695,1912,TRUE,"ZH","Mettmenstetten","Mettmenstetten","Mettmenstetten","Mettmenstetten ZH","Mettmenstetten (ZH)","Mettmenstetten ZH","Zürich","Zurich","Zurigo",37.005743848,FALSE,FALSE
1,10,40.504648074,610,896,43.340922026,1523,3514,1506,TRUE,"ZH","Obfelden","Obfelden","Obfelden","Obfelden ZH","Obfelden (ZH)","Obfelden ZH","Zürich","Zurich","Zurigo",37.005743848,FALSE,FALSE
1,11,38.076152305,380,618,52.128764278,1004,1926,998,TRUE,"ZH","Ottenbach","Ottenbach","Ottenbach","Ottenbach ZH","Ottenbach (ZH)","Ottenbach ZH","Zürich","Zurich","Zurigo",37.005743848,FALSE,FALSE
1,12,41.721854305,189,264,58.823529412,460,782,453,TRUE,"ZH","Rifferswil","Rifferswil","Rifferswil","Rifferswil ZH","Rifferswil (ZH)","Rifferswil ZH","Zürich","Zurich","Zurigo",37.005743848,FALSE,FALSE
1,13,38.790322581,481,759,52.130740588,1260,2417,1240,TRUE,"ZH","Stallikon","Stallikon","Stallikon","Stallikon ZH","Stallikon (ZH)","Stallikon ZH","Zürich","Zurich","Zurigo",37.005743848,FALSE,FALSE
1,14,38.548998376,712,1135,53.283837807,1866,3502,1847,TRUE,"ZH","Wettswil am Albis","Wettswil am Albis","Wettswil am Albis","Wettswil am Albis ZH","Wettswil am Albis (ZH)","Wettswil am Albis ZH","Zürich","Zurich","Zurigo",37.005743848,FALSE,FALSE
1,21,24.912280702,71,214,58.14889336,289,497,285,TRUE,"ZH","Adlikon","Adlikon","Adlikon","Adlikon ZH","Adlikon (ZH)","Adlikon ZH","Zürich","Zurich","Zurigo",37.005743848,FALSE,FALSE
1,22,40.273037543,118,175,49.496644295,295,596,293,TRUE,"ZH","Benken ZH","Benken (ZH)","Benken ZH","Benken ZH","Benken (ZH)","Benken ZH","Zürich","Zurich","Zurigo",37.005743848,FALSE,FALSE
1,23,35.074626866,94,174,60.088691796,271,451,268,TRUE,"ZH","Berg am Irchel","Berg am Irchel","Berg am Irchel","Berg am Irchel ZH","Berg am Irchel (ZH)","Berg am Irchel ZH","Zürich","Zurich","Zurigo",37.005743848,FALSE,FALSE
1,24,37.336814621,143,240,53.931034483,391,725,383,TRUE,"ZH","Buch am Irchel","Buch am Irchel","Buch am Irchel","Buch am Irchel ZH","Buch am Irchel (ZH)","Buch am Irchel ZH","Zürich","Zurich","Zurigo",37.005743848,FALSE,FALSE
1,25,44.94047619,302,370,50.742942051,683,1346,672,TRUE,"ZH","Dachsen","Dachsen","Dachsen","Dachsen ZH","Dachsen (ZH)","Dachsen ZH","Zürich","Zurich","Zurigo",37.005743848,FALSE,FALSE
1,26,34.716981132,92,173,51.945525292,267,514,265,TRUE,"ZH","Dorf","Dorf","Dorf","Dorf ZH","Dorf (ZH)","Dorf ZH","Zürich","Zurich","Zurigo",37.005743848,FALSE,FALSE
1,27,39.162112933,430,668,47.479881406,1121,2361,1098,TRUE,"ZH","Feuerthalen","Feuerthalen","Feuerthalen","Feuerthalen ZH","Feuerthalen (ZH)","Feuerthalen ZH","Zürich","Zurich","Zurigo",37.005743848,FALSE,FALSE
1,28,33.82045929,162,317,49.081632653,481,980,479,TRUE,"ZH","Flaach","Flaach","Flaach","Flaach ZH","Flaach (ZH)","Flaach ZH","Zürich","Zurich","Zurigo",37.005743848,FALSE,FALSE
1,29,48.623853211,265,280,54.090471607,562,1039,545,TRUE,"ZH","Flurlingen","Flurlingen","Flurlingen","Flurlingen ZH","Flurlingen (ZH)","Flurlingen ZH","Zürich","Zurich","Zurigo",37.005743848,FALSE,FALSE
1,30,46.682464455,394,450,56.10711953,859,1531,844,TRUE,"ZH","Andelfingen","Andelfingen","Andelfingen","Andelfingen ZH","Andelfingen (ZH)","Andelfingen ZH","Zürich","Zurich","Zurigo",37.005743848,FALSE,FALSE
1,31,45.263157895,387,468,51.880597015,869,1675,855,TRUE,"ZH","Henggart","Henggart","Henggart","Henggart ZH","Henggart (ZH)","Henggart ZH","Zürich","Zurich","Zurigo",37.005743848,FALSE,FALSE
1,32,33.333333333,58,116,50.720461095,176,347,174,TRUE,"ZH","Humlikon","Humlikon","Humlikon","Humlikon ZH","Humlikon (ZH)","Humlikon ZH","Zürich","Zurich","Zurigo",37.005743848,FALSE,FALSE
1,33,40.745856354,295,429,49.594594595,734,1480,724,TRUE,"ZH","Kleinandelfingen","Kleinandelfingen","Kleinandelfingen","Kleinandelfingen ZH","Kleinandelfingen (ZH)","Kleinandelfingen ZH","Zürich","Zurich","Zurigo",37.005743848,FALSE,FALSE
1,34,39.879154079,264,398,52.015503876,671,1290,662,TRUE,"ZH","Laufen-Uhwiesen","Laufen-Uhwiesen","Laufen-Uhwiesen","Laufen-Uhwiesen ZH","Laufen-Uhwiesen (ZH)","Laufen-Uhwiesen ZH","Zürich","Zurich","Zurigo",37.005743848,FALSE,FALSE
1,35,36.193029491,270,476,53.895639743,754,1399,746,TRUE,"ZH","Marthalen","Marthalen","Marthalen","Marthalen ZH","Marthalen (ZH)","Marthalen ZH","Zürich","Zurich","Zurigo",37.005743848,FALSE,FALSE
1,37,39.827586207,231,349,47.372675829,586,1237,580,TRUE,"ZH","Ossingen","Ossingen","Ossingen","Ossingen ZH","Ossingen (ZH)","Ossingen ZH","Zürich","Zurich","Zurigo",37.005743848,FALSE,FALSE
1,38,42.24137931,196,268,55.19630485,478,866,464,TRUE,"ZH","Rheinau","Rheinau","Rheinau","Rheinau ZH","Rheinau (ZH)","Rheinau ZH","Zürich","Zurich","Zurigo",37.005743848,FALSE,FALSE
1,39,33.333333333,112,224,49.132947977,340,692,336,TRUE,"ZH","Thalheim an der Thur","Thalheim an der Thur","Thalheim an der Thur","Thalheim an der Thur ZH","Thalheim an der Thur (ZH)","Thalheim an der Thur ZH","Zürich","Zurich","Zurigo",37.005743848,FALSE,FALSE
1,40,36.408977556,146,255,50.807453416,409,805,401,TRUE,"ZH","Trüllikon","Trüllikon","Trüllikon","Trüllikon ZH","Trüllikon (ZH)","Trüllikon ZH","Zürich","Zurich","Zurigo",37.005743848,FALSE,FALSE
1,41,39,78,122,57.428571429,201,350,200,TRUE,"ZH","Truttikon","Truttikon","Truttikon","Truttikon ZH","Truttikon (ZH)","Truttikon ZH","Zürich","Zurich","Zurigo",37.005743848,FALSE,FALSE
1,43,30.64516129,38,86,48.659003831,127,261,124,TRUE,"ZH","Volken","Volken","Volken","Volken ZH","Volken (ZH)","Volken ZH","Zürich","Zurich","Zurigo",37.005743848,FALSE,FALSE
1,51,38.136407301,397,644,41.918993315,1066,2543,1041,TRUE,"ZH","Bachenbülach","Bachenbülach","Bachenbülach","Bachenbülach ZH","Bachenbülach (ZH)","Bachenbülach ZH","Zürich","Zurich","Zurigo",37.005743848,FALSE,FALSE
1,52,,,,,,,,FALSE,"ZH","Bassersdorf","Bassersdorf","Bassersdorf","Bassersdorf ZH","Bassersdorf (ZH)","Bassersdorf ZH","Zürich","Zurich","Zurigo",37.005743848,FALSE,FALSE
1,53,39.604344453,2042,3114,40.624514525,5230,12874,5156,TRUE,"ZH","Bülach","Bülach","Bülach","Bülach ZH","Bülach (ZH)","Bülach ZH","Zürich","Zurich","Zurigo",37.005743848,FALSE,FALSE
1,54,41.036221917,895,1286,46.669477234,2214,4744,2181,TRUE,"ZH","Dietlikon","Dietlikon","Dietlikon","Dietlikon ZH","Dietlikon (ZH)","Dietlikon ZH","Zürich","Zurich","Zurigo",37.005743848,FALSE,FALSE
1,55,37.987421384,604,986,49.019015998,1624,3313,1590,TRUE,"ZH","Eglisau","Eglisau","Eglisau","Eglisau ZH","Eglisau (ZH)","Eglisau ZH","Zürich","Zurich","Zurigo",37.005743848,FALSE,FALSE
1,56,,,,,,,,FALSE,"ZH","Embrach","Embrach","Embrach","Embrach ZH","Embrach (ZH)","Embrach ZH","Zürich","Zurich","Zurigo",37.005743848,FALSE,FALSE
1,57,37.676056338,321,531,51.767525464,864,1669,852,TRUE,"ZH","Freienstein-Teufen","Freienstein-Teufen","Freienstein-Teufen","Freienstein-Teufen ZH","Freienstein-Teufen (ZH)","Freienstein-Teufen ZH","Zürich","Zurich","Zurigo",37.005743848,FALSE,FALSE
1,58,33.204034135,428,861,40.569283703,1297,3197,1289,TRUE,"ZH","Glattfelden","Glattfelden","Glattfelden","Glattfelden ZH","Glattfelden (ZH)","Glattfelden ZH","Zürich","Zurich","Zurigo",37.005743848,FALSE,FALSE
