"Gemeinde_Nr","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_KT_d","Gemeinde_KT_f","Gemeinde_KT_i","Text_d","Text_f","Text_i"
2701,27,27,73,"Basel BS","Bâle (BS)","Basilea BS","Nein zur Initiative ""Grundrechte für Primaten: 73 Prozent der Abstimmenden in Basel haben die Vorlage abgelehnt.",,
2702,11.7,11.7,88.3,"Bettingen BS","Bettingen (BS)","Bettingen BS","Nein zur Initiative ""Grundrechte für Primaten: 88,3 Prozent der Abstimmenden in Bettingen haben die Vorlage abgelehnt.",,
2703,15.8,15.8,84.2,"Riehen BS","Riehen (BS)","Riehen BS","Nein zur Initiative ""Grundrechte für Primaten: 84,2 Prozent der Abstimmenden in Riehen haben die Vorlage abgelehnt.",,
